,year,province,household_size,Food_mean,Food_sd,Shelter_mean,Shelter_sd,Clothing_mean,Clothing_sd,Transportation_mean,Transportation_sd
1,2005,Newfoundland and Labrador,1,3414.51,1707.22,6522.66,4987.98,921.42,1487.41,3084.52,4839.99
2,2005,Newfoundland and Labrador,2,5425.03,2036.54,6622.08,4423.38,1804.93,1507.02,7015.61,7992.26
3,2005,Newfoundland and Labrador,3,7183.81,2567.33,8994.15,5826.01,2795.67,1919.67,9173.60,9149.43
4,2005,Newfoundland and Labrador,4,8428.00,2827.52,10676.26,5667.58,3394.84,1910.92,10096.40,8965.10
5,2005,Newfoundland and Labrador,5,10655.68,4508.19,11612.90,6672.68,4158.58,2697.72,10105.63,9726.75
6,2005,Newfoundland and Labrador,6,10989.06,4650.03,14345.06,9162.22,3528.75,2718.95,9641.38,6775.24
7,2005,Prince Edward Island,1,3406.21,1766.67,7221.10,3583.98,892.68,894.93,3199.04,3947.80
8,2005,Prince Edward Island,2,5582.41,2262.50,8906.24,5027.98,1775.18,1301.16,6998.09,6602.97
9,2005,Prince Edward Island,3,7078.04,2498.17,10342.17,4974.73,2238.17,1313.07,8537.81,6906.05
10,2005,Prince Edward Island,4,8798.69,2979.61,11820.25,6157.27,2975.26,1671.56,8457.15,4970.09
11,2005,Prince Edward Island,5,9068.68,2541.29,11808.35,4065.49,3353.24,1638.24,8393.32,6330.95
12,2005,Prince Edward Island,6,9517.22,2480.89,14933.33,3998.56,3720.00,2307.31,9157.78,7189.48
13,2005,Nova Scotia,1,3438.16,1856.49,6966.16,4258.79,829.73,896.10,3507.83,6192.87
14,2005,Nova Scotia,2,5977.00,2633.12,9254.99,6538.66,1927.87,1907.08,8489.75,9170.44
15,2005,Nova Scotia,3,7206.22,2634.76,11877.64,7223.82,2749.02,2363.45,8960.05,8850.41
16,2005,Nova Scotia,4,9072.36,3874.24,14231.48,7535.50,3122.45,2366.17,10902.48,10074.60
17,2005,Nova Scotia,5,10653.55,5744.95,15453.10,10641.49,3510.96,2852.59,10412.60,8939.97
18,2005,Nova Scotia,6,11057.71,5107.00,11838.29,4888.43,4382.59,3334.89,8893.94,7610.76
19,2005,New Brunswick,1,3265.69,1722.43,6641.45,4253.58,907.65,1037.67,3818.49,5997.94
20,2005,New Brunswick,2,5650.93,2526.75,8568.78,5586.49,1870.62,1765.47,8468.30,8916.40
21,2005,New Brunswick,3,7410.89,3012.82,9797.91,5629.14,2473.31,1781.99,10725.36,10757.58
22,2005,New Brunswick,4,8509.64,3227.54,11783.72,6454.72,3218.61,3166.57,9847.24,8480.72
23,2005,New Brunswick,5,9596.42,3415.66,11659.76,6540.10,3232.32,2389.80,11965.08,11554.86
24,2005,New Brunswick,6,11842.47,4472.19,12036.06,7873.94,4345.76,3243.94,11786.71,9501.31
25,2005,Quebec,1,3815.08,1972.91,7069.33,3925.22,1002.30,1118.79,3631.98,5776.84
26,2005,Quebec,2,6682.42,2551.54,9180.26,5717.26,1965.32,1955.92,7025.56,7897.34
27,2005,Quebec,3,8235.83,3025.70,11511.18,7121.42,2775.39,2337.11,8863.21,8169.44
28,2005,Quebec,4,10502.27,4064.33,13307.57,7489.11,4108.78,3530.84,11100.09,9645.89
29,2005,Quebec,5,11977.82,4413.62,13440.11,8983.55,4275.28,3339.08,11167.10,10167.14
30,2005,Quebec,6,11932.79,5003.86,13600.54,7798.67,4770.25,4029.05,8671.04,6605.18
31,2005,Ontario,1,4056.30,2394.23,10211.35,6658.47,1313.62,1484.09,4740.27,7651.86
32,2005,Ontario,2,6732.52,3365.45,12948.73,8231.66,2540.25,2934.66,9154.97,10195.30
33,2005,Ontario,3,7681.61,3418.74,16846.25,10656.47,3076.65,2719.13,11312.11,12013.82
34,2005,Ontario,4,9923.66,4857.53,19758.84,12485.93,4465.12,4189.98,14142.89,12862.10
35,2005,Ontario,5,10473.47,4411.74,21671.49,12061.87,4132.15,3223.94,13615.38,11711.00
36,2005,Ontario,6,11460.33,5777.77,19360.53,10416.58,4032.84,2851.07,14199.65,12775.91
37,2005,Manitoba,1,3553.58,2234.77,6117.76,3614.44,817.72,930.37,3299.60,6336.10
38,2005,Manitoba,2,6158.23,2961.05,9515.36,5837.97,2108.99,2213.41,8288.49,10431.38
39,2005,Manitoba,3,7413.53,3227.48,11774.94,6725.09,2608.28,2076.13,10676.41,11787.42
40,2005,Manitoba,4,8865.23,3381.90,13259.75,6751.89,3052.34,2130.07,11445.05,10244.43
41,2005,Manitoba,5,8737.64,3016.85,12732.31,7068.64,3282.71,2662.55,9533.48,8108.96
42,2005,Manitoba,6,8825.14,2801.12,14451.79,6083.22,3855.03,4231.85,9331.45,8553.47
43,2005,Saskatchewan,1,3156.84,1860.14,6844.09,3982.23,841.21,1381.32,3242.90,5917.82
44,2005,Saskatchewan,2,5625.97,2641.10,9753.47,5977.45,2204.36,2288.99,8643.01,9683.98
45,2005,Saskatchewan,3,6729.62,2684.02,11778.28,5858.92,2608.30,2216.87,10593.23,10553.18
46,2005,Saskatchewan,4,7972.21,3898.11,13604.80,7265.16,3634.49,2960.93,12750.35,13984.31
47,2005,Saskatchewan,5,9132.21,4128.53,13179.82,6785.49,3705.68,2250.40,11944.77,9443.54
48,2005,Saskatchewan,6,10086.11,5215.94,12969.50,6940.20,3795.61,2418.23,9020.72,5986.43
49,2005,Alberta,1,4191.44,2089.45,9616.31,6587.56,1337.82,2035.80,3779.25,6203.96
50,2005,Alberta,2,6891.22,3460.44,11692.26,7028.30,2706.70,3275.42,9626.02,11527.81
51,2005,Alberta,3,7995.80,3595.95,14874.03,7391.69,3097.77,2343.73,11112.06,10345.69
52,2005,Alberta,4,9860.39,4865.10,16076.88,7371.26,3981.59,3179.33,15120.36,15404.64
53,2005,Alberta,5,10894.71,4791.51,17044.67,9556.11,4670.75,3434.08,13319.78,13312.94
54,2005,Alberta,6,11756.63,5191.60,18984.33,10526.95,5494.08,4239.98,17826.39,23038.15
55,2005,British Columbia,1,4385.73,2600.52,9108.39,6478.86,1240.63,1560.28,4118.92,6806.44
56,2005,British Columbia,2,6985.83,3314.61,12342.13,8986.79,2332.49,2507.64,9707.73,11821.86
57,2005,British Columbia,3,9022.84,3717.01,18184.78,12638.45,3471.88,2771.29,12349.60,12540.70
58,2005,British Columbia,4,10056.22,3931.39,20035.41,12619.34,3636.81,3568.94,12171.29,11406.84
59,2005,British Columbia,5,10272.75,4529.89,20026.14,13115.01,4033.04,3230.14,13091.32,13170.24
60,2005,British Columbia,6,13543.04,7472.97,22114.74,13824.63,4341.93,3223.19,15178.00,12965.19
61,2005,NA,1,5013.71,3030.14,9565.24,7412.83,1052.34,1127.55,4423.70,6654.46
62,2005,NA,2,8039.91,3819.85,13539.00,8484.24,2565.97,2456.73,9128.38,9728.98
63,2005,NA,3,10406.36,5929.19,16402.50,12133.81,3239.66,3374.22,9848.16,11186.26
64,2005,NA,4,12215.13,6369.98,17599.50,12704.49,3819.25,3090.50,9743.41,10935.41
65,2005,NA,5,14057.37,7262.11,19235.88,13906.43,3887.38,3186.02,12206.17,15920.51
66,2005,NA,6,16913.59,10334.05,13454.11,10918.08,5388.46,5844.21,9186.67,13826.62
67,2008,Newfoundland and Labrador,1,3703.90,2054.63,6330.12,4786.15,1032.89,1361.52,3702.83,5948.24
68,2008,Newfoundland and Labrador,2,6218.74,2705.91,8119.03,6118.13,2176.19,1866.96,8058.28,8663.07
69,2008,Newfoundland and Labrador,3,7715.99,2717.39,9737.16,6293.13,3371.18,2673.97,10693.11,10067.37
70,2008,Newfoundland and Labrador,4,9245.40,3488.81,13713.82,7794.39,4175.15,2672.66,12797.97,11492.42
71,2008,Newfoundland and Labrador,5,11449.53,4226.59,15046.53,7253.92,4756.03,3027.59,10291.13,10368.94
72,2008,Newfoundland and Labrador,6,10171.77,2943.60,11027.08,5642.62,3660.23,2410.85,12916.31,10758.58
73,2008,Prince Edward Island,1,3943.63,2214.77,8921.67,6661.74,961.03,1114.01,3936.64,5353.06
74,2008,Prince Edward Island,2,6313.98,2867.07,9773.89,5508.48,1922.88,1733.03,8658.00,8173.51
75,2008,Prince Edward Island,3,8250.59,3354.95,13454.67,6859.53,3094.43,1963.33,11047.07,10537.68
76,2008,Prince Edward Island,4,9164.47,3138.39,16323.86,8212.33,3496.09,2389.48,11461.78,10017.55
77,2008,Prince Edward Island,5,10476.63,3172.11,16291.44,8567.22,3037.15,1668.09,14789.85,12428.01
78,2008,Prince Edward Island,6,11262.33,1971.55,18280.17,7058.95,3202.00,835.11,13807.50,8025.43
79,2008,Nova Scotia,1,3844.73,2163.00,8120.71,4419.11,1052.04,1353.48,4528.43,6844.85
80,2008,Nova Scotia,2,6509.47,3086.38,10251.90,6450.96,1873.69,1849.69,8131.70,7797.34
81,2008,Nova Scotia,3,8047.28,3207.67,12964.16,9069.35,2723.09,2609.61,11627.30,13018.61
82,2008,Nova Scotia,4,10055.93,3906.09,16206.21,8454.39,3592.80,2222.29,14127.47,12422.28
83,2008,Nova Scotia,5,11770.42,4209.06,16583.00,8943.24,4298.33,3709.10,15192.47,11826.72
84,2008,Nova Scotia,6,12453.40,3342.12,13748.13,7645.52,3673.00,2585.08,9064.13,5777.14
85,2008,New Brunswick,1,3716.22,2397.39,6804.23,4216.54,934.49,1236.16,3984.31,6302.09
86,2008,New Brunswick,2,6308.50,2986.85,9464.92,6117.95,1935.69,1920.98,9916.00,10802.40
87,2008,New Brunswick,3,7309.00,3040.55,11308.34,6614.20,2451.91,2154.34,12119.44,11646.39
88,2008,New Brunswick,4,9884.90,4247.72,15028.48,9494.13,3590.60,2986.78,13882.30,15699.78
89,2008,New Brunswick,5,9785.87,3940.30,12916.61,7360.43,3262.79,2204.18,13809.63,11241.73
90,2008,New Brunswick,6,13885.71,5288.75,18335.71,20476.83,3955.14,1982.53,18132.86,15239.83
91,2008,Quebec,1,4227.74,2262.64,8363.62,5072.83,1100.88,1177.89,4129.32,6528.59
92,2008,Quebec,2,7502.45,3433.91,11149.62,7995.81,2430.58,2119.40,8114.21,8604.26
93,2008,Quebec,3,8895.73,3626.64,12489.05,7629.99,2935.97,2393.78,9732.63,9759.20
94,2008,Quebec,4,11167.86,4487.31,15449.57,9751.09,3969.67,3158.30,12056.35,11673.65
95,2008,Quebec,5,12547.48,4713.96,16154.85,9189.57,4985.52,4210.45,15452.50,15027.40
96,2008,Quebec,6,13302.00,4496.60,17991.29,7546.76,5495.53,4748.27,15855.47,14122.06
97,2008,Ontario,1,4143.34,2658.86,10453.86,6982.56,1413.03,1973.31,3874.48,5061.08
98,2008,Ontario,2,7129.60,3612.15,14501.79,9106.23,3011.16,3113.93,9978.61,10417.96
99,2008,Ontario,3,8230.43,3899.51,17985.23,10679.96,3506.33,3322.48,11822.98,11002.49
100,2008,Ontario,4,10169.90,4812.88,23218.17,12854.26,4437.88,4190.26,13314.13,11602.81
101,2008,Ontario,5,12058.60,6050.95,22190.51,14128.29,4769.22,3851.03,14237.71,14037.53
102,2008,Ontario,6,12737.74,4788.71,23105.20,13353.15,6203.37,5448.40,19301.03,17695.66
103,2008,Manitoba,1,3856.61,2375.41,8046.88,5320.34,1197.55,1916.27,4417.85,6982.76
104,2008,Manitoba,2,6230.65,2752.38,11137.57,7485.51,2230.32,2144.27,9627.51,10564.18
105,2008,Manitoba,3,7622.20,3305.29,12804.97,8670.10,3505.07,3771.89,11684.96,10408.39
106,2008,Manitoba,4,9018.89,3869.26,16555.89,11071.67,3991.62,3481.07,11992.39,11973.08
107,2008,Manitoba,5,9689.11,4439.70,17023.16,9494.72,3462.56,2979.51,11864.00,9045.24
108,2008,Manitoba,6,10673.33,5025.83,15657.96,10684.16,2927.13,2043.90,8754.38,9510.43
109,2008,Saskatchewan,1,3678.60,2083.53,8053.32,5684.86,1090.16,1606.04,4668.43,7167.54
110,2008,Saskatchewan,2,6050.34,2862.67,10791.79,7333.46,2426.85,2352.38,11093.82,12417.61
111,2008,Saskatchewan,3,7386.51,3857.78,13410.68,7107.47,3203.54,2282.80,15426.82,17449.15
112,2008,Saskatchewan,4,8715.45,3626.21,16768.01,8563.16,4194.25,4186.17,16401.95,14599.74
113,2008,Saskatchewan,5,10526.43,5948.61,16403.68,7739.32,4058.47,2755.72,15949.91,14914.63
114,2008,Saskatchewan,6,11238.82,2554.27,19027.65,11792.93,4403.00,2940.02,14073.41,15048.06
115,2008,Alberta,1,4393.85,2343.95,11510.53,7502.79,1485.67,2041.70,5216.13,7291.04
116,2008,Alberta,2,7478.29,3727.88,14534.53,8755.35,2903.72,2799.40,10572.98,13268.54
117,2008,Alberta,3,8728.74,4096.82,19115.74,9936.80,3947.50,4286.41,15583.40,15491.94
118,2008,Alberta,4,10305.65,4867.35,21573.79,10336.76,4853.72,3801.39,16595.73,16980.52
119,2008,Alberta,5,11582.67,4226.19,22746.69,11744.77,5168.80,3479.56,17777.31,14817.63
120,2008,Alberta,6,12065.50,4700.25,18768.69,9491.00,5729.88,3915.02,18743.31,16216.78
121,2008,British Columbia,1,4687.07,2803.03,9017.26,5983.05,1259.65,1642.27,4368.14,5585.30
122,2008,British Columbia,2,7500.60,3456.88,14179.73,10994.91,2379.82,2092.03,9210.62,10785.08
123,2008,British Columbia,3,9256.14,4342.69,19575.85,13559.14,3539.58,2763.30,12481.03,12238.19
124,2008,British Columbia,4,10720.76,4695.94,20405.89,12607.82,3785.98,3358.35,13632.86,11472.88
125,2008,British Columbia,5,12518.00,6768.43,21478.39,13347.00,5456.54,6602.52,15907.02,14967.40
126,2008,British Columbia,6,11557.75,5265.15,24498.05,12707.47,5245.65,8576.76,11759.85,5970.18
127,2009,Newfoundland and Labrador,1,3713.53,1603.79,6513.91,4776.94,958.77,1060.67,3730.65,6140.76
128,2009,Newfoundland and Labrador,2,6049.27,2467.70,8580.11,8080.80,2227.55,1955.55,8389.06,9225.01
129,2009,Newfoundland and Labrador,3,7510.72,2964.98,11267.76,8303.62,3154.66,2345.50,10027.25,11498.14
130,2009,Newfoundland and Labrador,4,9476.10,3526.17,13131.27,8728.97,4189.50,2902.62,13746.44,12818.58
131,2009,Newfoundland and Labrador,5,9672.44,3643.78,12685.79,6829.48,3615.76,2210.58,14906.74,17520.22
132,2009,Newfoundland and Labrador,6,9325.00,3660.94,4544.25,2688.27,3440.00,2150.49,5169.50,3834.76
133,2009,Prince Edward Island,1,3877.47,2017.75,8223.43,4873.01,1022.81,1516.11,3406.26,4569.75
134,2009,Prince Edward Island,2,6386.26,2425.36,10521.09,7048.88,1966.06,1630.62,7686.12,8819.26
135,2009,Prince Edward Island,3,7779.59,3904.81,11875.32,4818.06,2598.28,1796.46,8014.50,6887.83
136,2009,Prince Edward Island,4,9209.33,2690.25,15745.09,7066.01,3179.72,2174.94,10914.44,8440.77
137,2009,Prince Edward Island,5,9493.80,2771.22,12023.90,5602.10,3137.60,1789.31,14416.60,15241.96
138,2009,Prince Edward Island,6,11997.54,6197.43,16541.69,5715.15,3077.38,1546.47,11844.69,11290.21
139,2009,Nova Scotia,1,3775.03,2142.26,8742.09,6219.34,1051.94,1202.88,3601.96,5697.92
140,2009,Nova Scotia,2,6528.83,2661.49,10526.85,7282.98,2058.19,1959.75,8707.40,9332.72
141,2009,Nova Scotia,3,7978.89,3335.18,13430.79,7507.87,2672.98,1835.13,11035.68,10669.92
142,2009,Nova Scotia,4,9470.47,4000.36,15627.81,7551.28,3444.42,2589.25,11895.37,10707.38
143,2009,Nova Scotia,5,9559.47,4277.55,17314.32,21081.25,2409.88,1310.07,12042.85,11789.08
144,2009,Nova Scotia,6,14965.82,7273.79,19859.18,8661.63,7347.36,12142.95,14027.18,10455.65
145,2009,New Brunswick,1,3604.47,1712.78,7281.14,4620.82,971.77,1319.11,4317.07,5890.67
146,2009,New Brunswick,2,6323.38,2923.46,9624.26,6022.89,2034.47,2280.85,9552.39,10183.78
147,2009,New Brunswick,3,7941.79,4539.59,11885.82,6729.59,2738.59,2538.42,12318.62,12343.66
148,2009,New Brunswick,4,9279.21,4075.02,13637.84,6958.79,3308.94,2840.44,12724.03,13827.56
149,2009,New Brunswick,5,11668.57,4141.39,18228.80,6775.35,3955.69,1971.95,15835.49,11380.62
150,2009,New Brunswick,6,12335.69,5831.55,13994.25,7971.93,4155.44,3679.11,14392.38,11404.49
151,2009,Quebec,1,4235.43,2393.18,8607.55,6146.08,1094.91,1184.68,3633.00,5649.20
152,2009,Quebec,2,7135.22,3662.33,10152.17,6435.46,2241.86,2473.74,7998.67,9247.01
153,2009,Quebec,3,9003.58,3707.31,14065.46,8164.24,3013.47,2421.43,11740.95,12165.96
154,2009,Quebec,4,10433.88,4089.02,16425.11,8458.29,3817.56,2877.84,12321.26,10845.77
155,2009,Quebec,5,11914.50,4152.07,17937.89,9083.02,4186.64,2417.96,14892.58,12772.10
156,2009,Quebec,6,15103.83,5296.27,17589.43,8644.45,5140.91,2400.93,14124.52,13086.97
157,2009,Ontario,1,3922.37,2481.88,10870.81,6827.78,1461.14,2123.95,4430.20,6007.44
158,2009,Ontario,2,6916.13,3557.03,14234.82,8815.32,2617.21,2543.00,9460.67,9921.40
159,2009,Ontario,3,8184.96,4443.19,17052.54,9847.80,3830.60,4258.66,11940.28,10414.97
160,2009,Ontario,4,9704.51,4890.44,20306.90,11079.42,4966.49,4128.47,15910.15,17702.94
161,2009,Ontario,5,10575.04,4609.89,21151.45,10814.24,5078.92,3908.07,12502.00,8583.84
162,2009,Ontario,6,11826.90,5128.79,18119.37,8391.79,4604.67,3395.14,15597.57,12419.99
163,2009,Manitoba,1,3862.86,2512.04,8648.64,5533.85,1192.46,1282.64,4554.09,6774.50
164,2009,Manitoba,2,6506.72,3113.20,11446.26,8369.54,2606.32,2339.53,9575.64,10604.62
165,2009,Manitoba,3,7258.72,3401.47,13657.45,8281.85,3080.24,2239.25,12376.07,13609.49
166,2009,Manitoba,4,8470.51,3795.41,16224.78,9039.57,3889.35,2438.75,13237.15,11613.55
167,2009,Manitoba,5,10883.58,5204.15,15709.69,8014.71,4239.58,3806.64,13364.21,13130.78
168,2009,Manitoba,6,10143.61,4938.04,18561.89,14981.38,3708.17,5585.26,11383.44,8885.30
169,2009,Saskatchewan,1,3744.10,2190.28,9211.79,6145.19,1303.87,1600.78,5525.20,8409.17
170,2009,Saskatchewan,2,6172.11,3199.31,11743.49,7533.79,2630.81,2979.64,10936.65,12625.44
171,2009,Saskatchewan,3,7215.31,2956.85,14645.73,7567.57,3335.25,2429.19,14419.25,14791.58
172,2009,Saskatchewan,4,9359.41,3692.59,16825.99,8751.98,4251.01,3156.41,13694.93,12978.51
173,2009,Saskatchewan,5,9344.86,4078.40,16365.20,7920.73,4173.22,3394.00,18928.24,16272.69
174,2009,Saskatchewan,6,9379.75,3196.89,18104.33,7978.01,4351.08,2161.38,10084.42,11777.77
175,2009,Alberta,1,4473.78,2773.49,11108.63,7516.85,1297.72,1543.80,4658.67,6319.08
176,2009,Alberta,2,7147.97,3440.88,14668.35,11775.57,2951.70,3014.52,11715.80,12945.84
177,2009,Alberta,3,8688.75,4250.16,17385.15,11606.57,3590.55,2931.10,14032.22,13846.73
178,2009,Alberta,4,10356.60,5287.26,19824.97,10176.35,5188.25,4167.19,13439.45,12325.55
179,2009,Alberta,5,10937.27,4875.53,20369.50,9394.98,4710.19,3556.03,11734.86,15840.12
180,2009,Alberta,6,12409.65,7966.72,20215.04,12692.38,4033.46,3674.71,13721.12,12318.65
181,2009,British Columbia,1,4559.53,2539.68,9675.61,8061.19,1231.01,1423.27,4834.83,7818.86
182,2009,British Columbia,2,7296.37,3820.21,13504.38,10359.41,2565.69,2745.56,8948.29,10679.14
183,2009,British Columbia,3,8179.32,3653.64,20695.41,19464.26,2897.40,2722.60,9513.13,8297.11
184,2009,British Columbia,4,10077.50,4635.76,24383.27,22230.39,3759.76,2792.47,13445.16,12352.77
185,2009,British Columbia,5,11270.32,5007.92,26726.98,17463.02,4344.51,3428.00,15821.15,15331.91
186,2009,British Columbia,6,13291.11,5989.94,24128.27,12608.56,5907.27,6484.99,13063.19,12601.30
187,2009,NA,1,5341.21,3201.07,10499.81,7761.22,1588.53,2228.45,5142.20,8214.81
188,2009,NA,2,8717.05,3859.61,15996.97,10994.03,3023.01,2897.24,10325.38,12456.02
189,2009,NA,3,10878.45,5784.06,17129.46,12602.90,4073.41,4316.43,10218.73,12264.64
190,2009,NA,4,12930.90,7224.97,18755.84,12226.80,4152.12,2714.26,11166.12,11248.30
191,2009,NA,5,14833.98,9379.72,14715.33,12632.36,4172.73,3144.72,5399.45,6000.98
192,2009,NA,6,18946.40,8643.81,14017.66,12396.84,5403.98,3385.84,8969.92,12791.17